dzid,title,file_name,file_name_match,vols,person_name,FUNCTION,dz_txt_cjk_characters,dz_txt_file_bytes
DZ0162,易象圖說外篇,正統道藏洞真部靈圖類-易象圖說外篇-元-張理.txt,exact,3,張理,撰,13780,52370
DZ0163,玄元十子圖,正統道藏洞真部靈圖類-玄元十子圖-元-趙孟頫.txt,exact,1,趙孟頫,撰,2791,10208
DZ0164,上清三尊譜錄,正統道藏洞真部譜箓類-上清三尊譜箓.txt,fuzzy,1,,,3602,12717
DZ0165,靈寶自然九天生神三寶大有金書,正統道藏洞真部譜箓類-靈寶自然九天生神三尊大有金書.txt,exact,1,葛巢甫,,2908,10555
DZ0166,元始上真眾仙記,正統道藏洞真部譜箓類-元始上真眾仙記 枕中書-晉-葛洪.txt,exact,1,葛洪,,2957,10749
DZ0167,洞玄靈寶真靈位業圖,正統道藏洞真部譜箓類-洞玄靈寶真靈位業圖-梁-陶弘景.txt,exact,1,陶弘景,,6171,24487
DZ0168,元始高上玉檢大錄,正統道藏洞真部譜箓類-元始高上玉檢大箓.txt,fuzzy,1,,,2162,7394
DZ0169,清河內傳,正統道藏洞真部譜箓類-清河內傳.txt,exact,1,,,5693,20186
DZ0170,梓潼帝君化書,正統道藏洞真部譜箓類-梓潼帝君化書.txt,exact,4,,,31032,111854
DZ0171,清微仙譜,正統道藏洞真部譜箓類-清微仙譜.txt,exact,1,黃舜申,撰,4589,16496
DZ0172,三茅真君加封事典,正統道藏洞真部譜箓類-三茅真君加封事典-宋-張大淳.txt,exact,2,張大淳,編,9422,33857
DZ0173,金蓮正宗紀,正統道藏洞真部譜箓類-金蓮正宗記-元-秦志安.txt,fuzzy,5,秦志安,撰,20596,73883
DZ0174,金蓮正宗仙源像傳,正統道藏洞真部譜箓類-金蓮正宗仙源像傳-元-劉志玄.txt,exact,1,劉志玄,纂,12615,44920
DZ0175,七真年譜,正統道藏洞真部譜箓類-七真年譜-元-李道謙.txt,exact,1,李道謙,纂,5937,21658
DZ0176,玄風慶會錄,正統道藏洞真部譜箓類-玄風慶會錄-元-耶律楚才.txt,exact,1,移剌楚才,撰,3067,10851
DZ0177,太上洞真智慧上品大戒,正統道藏洞真部戒律類-太上洞真智慧上品大誡.txt,fuzzy,1,葛巢甫,,5135,20236
DZ0178,三洞眾戒文,正統道藏洞真部戒律類-三洞眾戒文-唐-張萬福.txt,exact,2,張萬福,纂,4491,17030
DZ0179,太微靈書紫文仙忌真記上經,正統道藏洞真部戒律類-太微靈書紫文仙忌真記上經.txt,exact,1,楊羲,,1148,4190
DZ0180,虛皇天尊初真十戒文,正統道藏洞真部戒律類-虛皇天尊初真十戒文.txt,exact,1,,,2167,7897
DZ0181,太上九真妙戒金籙度命拔罪妙經,正統道藏洞真部戒律類-太上九真妙戒金箓度命拔罪妙經.txt,fuzzy,1,,,2843,10480
DZ0182,太上十二上品飛天法輪勸戒妙經,正統道藏洞真部戒律類-太上十二上品飛天法輪勸戒妙經.txt,exact,1,,,2956,10825
DZ0183,太極真人說二十四門戒經,正統道藏洞真部戒律類-太極真人說二十四門戒經.txt,exact,1,,,2213,8098
DZ0184,太真玉帝四極明科經,正統道藏洞真部戒律類-太真玉帝四極明科經.txt,exact,5,,,26573,96548
DZ0185,赤松子中誡經,正統道藏洞真部戒律類-赤松子中誡經.txt,exact,1,,,4298,15808
DZ0186,太微仙君功過格,正統道藏洞真部戒律類-太微仙君功過格.txt,exact,1,又玄子,序,3765,13766
DZ0187,太清五十八願文,正統道藏洞真部戒律類-太清五十八愿文.txt,exact,1,,,2149,7833
DZ0188,玄都律文,正統道藏洞真部戒律類-玄都律文.txt,exact,1,,,6918,25593
DZ0189,太上靈寶朝天謝罪大懺,正統道藏洞真部威儀類-太上靈寶朝天謝罪大懺.txt,exact,10,,,34893,126849
