review_id,suggested_action,action,match_status,match_tier,match_note,wiki_sourcePage,wiki_dynastySection,wiki_dyn_candidates,wiki_fief,fief_corrected,wiki_pn,pn_corrected,wiki_nt,wiki_person,wiki_personBare,wiki_startYear,wiki_endYear,wikidataId,wikiPersonUrl,norbert_person_id,norbert_nt_ind,norbert_can_name,norbert_dyn,norbert_fief,norbert_pn,norbert_nt,norbert_start_year,norbert_end_year,norbert_dyn_id,fill_notes,reviewer_notes
67,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,糠,,王,劉昆侈,劉昆侈,,,Q15846458,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%8C_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),,,,,,,,,,,,
68,link,,matched,D,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,頃,,王,劉輔,劉輔,,,Q15846458,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%8C_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),8065,1152,劉輔,漢,沛,獻,王,,,46,,
69,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,憲,,王,劉福,劉福,,,Q15846458,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%8C_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),,,,,,,,,,,,
70,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,懷,,王,劉脩,劉脩,,,Q18459526,https://zh.wikipedia.org/wiki/%E5%88%98%E8%84%A9_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),,,,,,,,,,,,
71,link,,matched,B,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,哀,,王,劉竟,劉竟,,,Q10900242,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%AB%9F,9460,1209,劉竟,漢,中山,哀,王,,,43,,
72,link,,matched,B,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,孝,,王,劉興,劉興,,,Q10897158,https://zh.wikipedia.org/wiki/%E5%88%98%E5%85%B4_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),9464,1205,劉興,漢,中山,孝,王,,,43,,
73,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,,,王,劉箕子,劉箕子,,,,https://zh.wikipedia.org/wiki/%E5%88%98%E7%AE%95%E5%AD%90,,,,,,,,,,,,
74,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,,,王,劉成都,劉成都,,,Q30949123,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%88%90%E9%83%BD,,,,,,,,,,,,
75,link,,matched,B,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,簡,,王,劉焉,劉焉,,,,https://zh.wikipedia.org/wiki/%E5%88%98%E7%84%89_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),8188,1181,劉焉,漢,中山,簡,王,,,46,,
76,insert_nt,,person_only,E,"person in Norbert, no matching NT row",中山王,漢朝,東漢|西漢|漢,中山,,夷,,王,劉憲,劉憲,,,Q10900122,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%84%89_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),1797,,劉憲,,,,,,,,,
77,review,,ambiguous,D,3 Norbert candidates,中山王,漢朝,東漢|西漢|漢,中山,,孝,,王,劉弘,劉弘,,,Q10900122,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%84%89_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),4841,1041,劉弘,漢,武陶,孝,侯,,,43,,
78,link,,matched,D,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,穆,,王,劉暢,劉暢,,,Q10900122,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%84%89_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),9275,1151,劉暢,漢,梁,節,王,,,46,,
79,review,,wiki_only,,no Norbert match,中山王,漢朝,東漢|西漢|漢,中山,,節,,王,劉稚,劉稚,,,Q10900122,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%84%89_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),,,,,,,,,,,,
80,link,,matched,D,full NT match,中山王,十六國,十六國,中山,,,,王,石虎,石虎,,,Q1149441,https://zh.wikipedia.org/wiki/%E7%9F%B3%E8%99%8E_(%E5%BE%8C%E8%B6%99),4302,2396,石虎,趙,趙,武,皇帝,,,57,,
81,link,,matched,D,full NT match,中山王,十六國,十六國,中山,,,,王,慕容暐,慕容暐,,,Q1074804,https://zh.wikipedia.org/wiki/%E6%85%95%E5%AE%B9%E6%9A%90,4001,1262,慕容暐,燕,燕,幽,帝,,,59,,
82,review,,wiki_only,,no Norbert match,中山王,十六國,十六國,中山,,,,王,慕容衝,慕容衝,,,Q1074358,https://zh.wikipedia.org/wiki/%E6%85%95%E5%AE%B9%E5%86%B2,,,,,,,,,,,,
83,insert_nt,,person_only,E,"person in Norbert, no matching NT row",中山王,北朝,北朝,中山,,簡,,王,拓跋纂,拓跋纂,,,Q22100873,https://zh.wikipedia.org/wiki/%E6%8B%93%E8%B7%8B%E7%BA%82,14705,,拓跋纂,,,,,,,,,
84,link,,matched,D,full NT match,中山王,北朝,北朝,中山,,,,王,元善見,元善見,,,Q1149239,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%AD%9D%E9%9D%99%E5%B8%9D,7809,1521,元善見,魏,魏,孝靜,帝,,,92,,
85,review,,wiki_only,,no Norbert match,中山王,明朝,明,中山,,武寧,,王,徐達,徐達,,,Q1355886,https://zh.wikipedia.org/wiki/%E5%BE%90%E9%81%94,,,,,,,,,,,,
86,review,,wiki_only,,no Norbert match,中山王,參考書目,參考書目,中山,,,,王,漢書,漢書,,,Q846905,https://zh.wikipedia.org/wiki/%E6%B1%89%E4%B9%A6,,,,,,,,,,,,
87,review,,wiki_only,,no Norbert match,中山王,參考書目,參考書目,中山,,,,王,後漢書,後漢書,,,Q430428,https://zh.wikipedia.org/wiki/%E5%90%8E%E6%B1%89%E4%B9%A6,,,,,,,,,,,,
88,review,,wiki_only,,no Norbert match,臨江王,漢朝,東漢|西漢|漢,臨江,,,,王,共敖,共敖,,,Q5581673,https://zh.wikipedia.org/wiki/%E5%85%B1%E6%95%96,,,,,,,,,,,,
