Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
箧,(U+7BA7),Z,CJK_Unified_Ideographs,篋,(U+7BCB),B,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箨,(U+7BA8),Z,CJK_Unified_Ideographs,籜,(U+7C5C),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箩,(U+7BA9),Z,CJK_Unified_Ideographs,籮,(U+7C6E),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箪,(U+7BAA),Z,CJK_Unified_Ideographs,簞,(U+7C1E),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箫,(U+7BAB),Z,CJK_Unified_Ideographs,簫,(U+7C2B),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箲,(U+7BB2),Z,CJK_Unified_Ideographs,筅,(U+7B45),C,CJK_Unified_Ideographs,MOE;NS;twedu
篏,(U+7BCF),Z,CJK_Unified_Ideographs,嵌,(U+5D4C),A,CJK_Unified_Ideographs,MOE;NS;hydzd
篐,(U+7BD0),Z,CJK_Unified_Ideographs,箍,(U+7B8D),B,CJK_Unified_Ideographs,NS
篑,(U+7BD1),Z,CJK_Unified_Ideographs,簣,(U+7C23),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
篓,(U+7BD3),Z,CJK_Unified_Ideographs,簍,(U+7C0D),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
篭,(U+7BED),Z,CJK_Unified_Ideographs,籠,(U+7C60),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
篮,(U+7BEE),Z,CJK_Unified_Ideographs,籃,(U+7C43),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;unihan_simplified;unihan_traditional
篯,(U+7BEF),Z,CJK_Unified_Ideographs,籛,(U+7C5B),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
簔,(U+7C14),Z,CJK_Unified_Ideographs,蓑,(U+84D1),B,CJK_Unified_Ideographs,NS;hydzd
簖,(U+7C16),Z,CJK_Unified_Ideographs,籪,(U+7C6A),C,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
簛,(U+7C1B),Z,CJK_Unified_Ideographs,篩,(U+7BE9),A,CJK_Unified_Ideographs,NS;hydzd;unihan_semantic
簤,(U+7C24),Z,CJK_Unified_Ideographs,蕒,(U+8552),C,CJK_Unified_Ideographs,NS
籁,(U+7C41),Z,CJK_Unified_Ideographs,籟,(U+7C5F),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
籄,(U+7C44),Z,CJK_Unified_Ideographs,蕢,(U+8562),B,CJK_Unified_Ideographs,NS;unihan_semantic
籆,(U+7C46),C,CJK_Unified_Ideographs,籰,(U+7C70),C,CJK_Unified_Ideographs,NS
籒,(U+7C52),Z,CJK_Unified_Ideographs,籀,(U+7C40),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
