Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
㦒,(U+3992),Z,CJK_Extension_A,詈,(U+8A48),B,CJK_Unified_Ideographs,NS
㦓,(U+3993),C,CJK_Extension_A,燃,(U+71C3),A,CJK_Unified_Ideographs,NS
㦔,(U+3994),Z,CJK_Extension_A,厭,(U+53AD),A,CJK_Unified_Ideographs,MOE;NS;twedu
㦕,(U+3995),C,CJK_Extension_A,隆,(U+9686),A,CJK_Unified_Ideographs,NS
㦖,(U+3996),Z,CJK_Extension_A,懣,(U+61E3),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㦗,(U+3997),C,CJK_Extension_A,襟,(U+895F),A,CJK_Unified_Ideographs,NS
㦘,(U+3998),C,CJK_Extension_A,憝,(U+619D),B,CJK_Unified_Ideographs,NS
㦚,(U+399A),C,CJK_Extension_A,辨,(U+8FA8),A,CJK_Unified_Ideographs,NS
㦛,(U+399B),C,CJK_Extension_A,礜,(U+791C),B,CJK_Unified_Ideographs,NS
㦜,(U+399C),C,CJK_Extension_A,驚,(U+9A5A),A,CJK_Unified_Ideographs,NS
㦝,(U+399D),C,CJK_Extension_A,貌,(U+8C8C),A,CJK_Unified_Ideographs,NS
㦞,(U+399E),Z,CJK_Extension_A,燾,(U+71FE),B,CJK_Unified_Ideographs,NS
㦟,(U+399F),C,CJK_Extension_A,懇,(U+61C7),A,CJK_Unified_Ideographs,NS
㦡,(U+39A1),C,CJK_Extension_A,樂,(U+6A02),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㦣,(U+39A3),C,CJK_Extension_A,躗,(U+8E97),B,CJK_Unified_Ideographs,NS
㦤,(U+39A4),Z,CJK_Extension_A,懿,(U+61FF),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㦥,(U+39A5),C,CJK_Extension_A,幰,(U+5E70),B,CJK_Unified_Ideographs,NS
㦦,(U+39A6),C,CJK_Extension_A,憪,(U+61AA),B,CJK_Unified_Ideographs,NS
㦧,(U+39A7),Z,CJK_Extension_A,憯,(U+61AF),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㦨,(U+39A8),Z,CJK_Extension_A,懶,(U+61F6),A,CJK_Unified_Ideographs,NS;hydzd
㦪,(U+39AA),C,CJK_Extension_A,燮,(U+71EE),A,CJK_Unified_Ideographs,NS
㦫,(U+39AB),C,CJK_Extension_A,儹,(U+5139),B,CJK_Unified_Ideographs,NS
㦭,(U+39AD),C,CJK_Extension_A,怜,(U+601C),C,CJK_Unified_Ideographs,NS;hydzd
㦮,(U+39AE),Z,CJK_Extension_A,錢,(U+9322),A,CJK_Unified_Ideographs,MOE;NS;twedu
㦯,(U+39AF),Z,CJK_Extension_A,或,(U+6216),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㦱,(U+39B1),Z,CJK_Extension_A,武,(U+6B66),A,CJK_Unified_Ideographs,NS
㦲,(U+39B2),Z,CJK_Extension_A,哉,(U+54C9),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㦳,(U+39B3),Z,CJK_Extension_A,㘽,(U+363D),Z,CJK_Extension_A,ctext;unihan_zvariant
㦳,(U+39B3),Z,CJK_Extension_A,栽,(U+683D),A,CJK_Unified_Ideographs,NS
㦴,(U+39B4),C,CJK_Extension_A,格,(U+683C),A,CJK_Unified_Ideographs,NS;twedu
㦵,(U+39B5),C,CJK_Extension_A,誅,(U+8A85),A,CJK_Unified_Ideographs,NS;hydzd
㦷,(U+39B7),Z,CJK_Extension_A,勇,(U+52C7),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㦸,(U+39B8),Z,CJK_Extension_A,戟,(U+621F),A,CJK_Unified_Ideographs,MOE;hydzd;twedu
㦹,(U+39B9),C,CJK_Extension_A,昜,(U+661C),B,CJK_Unified_Ideographs,NS
㦺,(U+39BA),C,CJK_Extension_A,辱,(U+8FB1),A,CJK_Unified_Ideographs,NS
㦻,(U+39BB),C,CJK_Extension_A,襲,(U+8972),A,CJK_Unified_Ideographs,NS;hydzd
㦼,(U+39BC),C,CJK_Extension_A,舂,(U+8202),A,CJK_Unified_Ideographs,NS
㦽,(U+39BD),Z,CJK_Extension_A,彧,(U+5F67),B,CJK_Unified_Ideographs,NS;hydzd
㦾,(U+39BE),Z,CJK_Extension_A,戹,(U+6239),Z,CJK_Unified_Ideographs,NS
㦿,(U+39BF),C,CJK_Extension_A,戸,(U+6238),Z,CJK_Unified_Ideographs,NS
㧀,(U+39C0),C,CJK_Extension_A,扆,(U+6246),B,CJK_Unified_Ideographs,NS
㧂,(U+39C2),Z,CJK_Extension_A,届,(U+5C4A),Z,CJK_Unified_Ideographs,NS
㧃,(U+39C3),C,CJK_Extension_A,收,(U+6536),A,CJK_Unified_Ideographs,NS;hydzd;twedu;unihan_semantic
㧄,(U+39C4),C,CJK_Extension_A,扣,(U+6263),A,CJK_Unified_Ideographs,NS
㧅,(U+39C5),C,CJK_Extension_A,扐,(U+6250),B,CJK_Unified_Ideographs,NS;twedu
㧆,(U+39C6),C,CJK_Extension_A,扣,(U+6263),A,CJK_Unified_Ideographs,NS
㧇,(U+39C7),C,CJK_Extension_A,扣,(U+6263),A,CJK_Unified_Ideographs,NS
㧈,(U+39C8),Z,CJK_Extension_A,引,(U+5F15),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㧉,(U+39C9),C,CJK_Extension_A,汽,(U+6C7D),A,CJK_Unified_Ideographs,NS
㧊,(U+39CA),C,CJK_Extension_A,柿,(U+67FF),A,CJK_Unified_Ideographs,NS
㧋,(U+39CB),C,CJK_Extension_A,拔,(U+62D4),A,CJK_Unified_Ideographs,NS
㧌,(U+39CC),C,CJK_Extension_A,毛,(U+6BDB),A,CJK_Unified_Ideographs,NS
㧎,(U+39CE),C,CJK_Extension_A,枒,(U+6792),B,CJK_Unified_Ideographs,NS
㧏,(U+39CF),Z,CJK_Extension_A,掆,(U+6386),C,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
㧐,(U+39D0),Z,CJK_Extension_A,㩳,(U+3A73),C,CJK_Extension_A,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
㧑,(U+39D1),Z,CJK_Extension_A,撝,(U+649D),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㧒,(U+39D2),C,CJK_Extension_A,抭,(U+62AD),B,CJK_Unified_Ideographs,NS;twedu
㧓,(U+39D3),C,CJK_Extension_A,抓,(U+6293),A,CJK_Unified_Ideographs,NS
㧔,(U+39D4),C,CJK_Extension_A,找,(U+627E),A,CJK_Unified_Ideographs,NS
㧕,(U+39D5),C,CJK_Extension_A,柳,(U+67F3),A,CJK_Unified_Ideographs,NS
㧗,(U+39D7),C,CJK_Extension_A,批,(U+6279),A,CJK_Unified_Ideographs,NS
㧛,(U+39DB),Z,CJK_Extension_A,擥,(U+64E5),Z,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㧜,(U+39DC),Z,CJK_Extension_A,匝,(U+531D),A,CJK_Unified_Ideographs,NS
㧝,(U+39DD),Z,CJK_Extension_A,挐,(U+6310),B,CJK_Unified_Ideographs,NS
㧟,(U+39DF),Z,CJK_Extension_A,擓,(U+64D3),C,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
㧡,(U+39E1),C,CJK_Extension_A,核,(U+6838),A,CJK_Unified_Ideographs,NS
㧢,(U+39E2),C,CJK_Extension_A,因,(U+56E0),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㧣,(U+39E3),C,CJK_Extension_A,株,(U+682A),A,CJK_Unified_Ideographs,NS
㧤,(U+39E4),C,CJK_Extension_A,充,(U+5145),A,CJK_Unified_Ideographs,NS
㧥,(U+39E5),C,CJK_Extension_A,洗,(U+6D17),A,CJK_Unified_Ideographs,NS
㧧,(U+39E7),Z,CJK_Extension_A,梳,(U+68B3),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㧨,(U+39E8),Z,CJK_Extension_A,垢,(U+57A2),A,CJK_Unified_Ideographs,NS
㧩,(U+39E9),C,CJK_Extension_A,珮,(U+73EE),A,CJK_Unified_Ideographs,NS
㧪,(U+39EA),C,CJK_Extension_A,垝,(U+579D),B,CJK_Unified_Ideographs,NS
㧫,(U+39EB),C,CJK_Extension_A,擩,(U+64E9),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㧬,(U+39EC),C,CJK_Extension_A,挈,(U+6308),A,CJK_Unified_Ideographs,NS
㧭,(U+39ED),C,CJK_Extension_A,挐,(U+6310),B,CJK_Unified_Ideographs,NS
㧮,(U+39EE),C,CJK_Extension_A,拍,(U+62CD),A,CJK_Unified_Ideographs,NS
㧯,(U+39EF),C,CJK_Extension_A,拷,(U+62F7),A,CJK_Unified_Ideographs,NS
㧰,(U+39F0),Z,CJK_Extension_A,擽,(U+64FD),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㧲,(U+39F2),C,CJK_Extension_A,宋,(U+5B8B),A,CJK_Unified_Ideographs,NS
㧳,(U+39F3),C,CJK_Extension_A,拏,(U+62CF),B,CJK_Unified_Ideographs,NS
㧵,(U+39F5),Z,CJK_Extension_A,掊,(U+638A),B,CJK_Unified_Ideographs,NS
㧶,(U+39F6),C,CJK_Extension_A,鏗,(U+93D7),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㧷,(U+39F7),C,CJK_Extension_A,括,(U+62EC),A,CJK_Unified_Ideographs,NS
㧹,(U+39F9),C,CJK_Extension_A,捊,(U+634A),B,CJK_Unified_Ideographs,NS
㧺,(U+39FA),C,CJK_Extension_A,沓,(U+6C93),B,CJK_Unified_Ideographs,NS
㧼,(U+39FC),Z,CJK_Extension_A,俵,(U+4FF5),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㧾,(U+39FE),Z,CJK_Extension_A,總,(U+7E3D),A,CJK_Unified_Ideographs,NS;twedu
㧿,(U+39FF),Z,CJK_Extension_A,從,(U+5F9E),A,CJK_Unified_Ideographs,NS
㨀,(U+3A00),Z,CJK_Extension_A,秉,(U+79C9),A,CJK_Unified_Ideographs,NS;hydzd
㨁,(U+3A01),C,CJK_Extension_A,植,(U+690D),A,CJK_Unified_Ideographs,NS
㨆,(U+3A06),C,CJK_Extension_A,琳,(U+7433),A,CJK_Unified_Ideographs,NS
㨇,(U+3A07),Z,CJK_Extension_A,掬,(U+63AC),A,CJK_Unified_Ideographs,NS
㨈,(U+3A08),Z,CJK_Extension_A,擠,(U+64E0),A,CJK_Unified_Ideographs,MOE;NS;twedu
㨉,(U+3A09),Z,CJK_Extension_A,抆,(U+6286),B,CJK_Unified_Ideographs,NS;hydzd
㨉,(U+3A09),Z,CJK_Extension_A,捪,(U+636A),C,CJK_Unified_Ideographs,MOE;hydzd;twedu
㨊,(U+3A0A),C,CJK_Extension_A,撱,(U+64B1),C,CJK_Unified_Ideographs,NS;hydzd
㨋,(U+3A0B),C,CJK_Extension_A,楮,(U+696E),B,CJK_Unified_Ideographs,NS
㨌,(U+3A0C),C,CJK_Extension_A,榖,(U+6996),B,CJK_Unified_Ideographs,NS
㨍,(U+3A0D),C,CJK_Extension_A,幫,(U+5E6B),A,CJK_Unified_Ideographs,NS;hydzd
㨏,(U+3A0F),C,CJK_Extension_A,炭,(U+70AD),A,CJK_Unified_Ideographs,NS
㨐,(U+3A10),C,CJK_Extension_A,拊,(U+62CA),B,CJK_Unified_Ideographs,NS;hydzd
㨑,(U+3A11),C,CJK_Extension_A,椶,(U+6936),Z,CJK_Unified_Ideographs,NS
㨓,(U+3A13),Z,CJK_Extension_A,搾,(U+643E),A,CJK_Unified_Ideographs,NS
㨔,(U+3A14),C,CJK_Extension_A,撼,(U+64BC),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㨕,(U+3A15),Z,CJK_Extension_A,楹,(U+6979),A,CJK_Unified_Ideographs,MOE;NS;twedu
㨗,(U+3A17),Z,CJK_Extension_A,捷,(U+6377),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㨙,(U+3A19),C,CJK_Extension_A,徯,(U+5FAF),B,CJK_Unified_Ideographs,NS
㨚,(U+3A1A),C,CJK_Extension_A,荀,(U+8340),A,CJK_Unified_Ideographs,NS
㨛,(U+3A1B),C,CJK_Extension_A,掞,(U+639E),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㨜,(U+3A1C),C,CJK_Extension_A,據,(U+64DA),A,CJK_Unified_Ideographs,NS
㨟,(U+3A1F),C,CJK_Extension_A,榿,(U+69BF),B,CJK_Unified_Ideographs,NS
㨡,(U+3A21),C,CJK_Extension_A,溷,(U+6EB7),B,CJK_Unified_Ideographs,NS
㨢,(U+3A22),C,CJK_Extension_A,褦,(U+8926),B,CJK_Unified_Ideographs,NS
㨣,(U+3A23),Z,CJK_Extension_A,擁,(U+64C1),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㨤,(U+3A24),Z,CJK_Extension_A,滙,(U+6ED9),Z,CJK_Unified_Ideographs,NS
㨥,(U+3A25),C,CJK_Extension_A,納,(U+7D0D),A,CJK_Unified_Ideographs,NS
㨧,(U+3A27),C,CJK_Extension_A,播,(U+64AD),A,CJK_Unified_Ideographs,NS
㨩,(U+3A29),Z,CJK_Extension_A,捷,(U+6377),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㨪,(U+3A2A),C,CJK_Extension_A,晃,(U+6643),A,CJK_Unified_Ideographs,NS;hydzd
㨫,(U+3A2B),Z,CJK_Extension_A,㩜,(U+3A5C),Z,CJK_Extension_A,cjkvi_simplified;unihan_simplified;unihan_traditional
㨭,(U+3A2D),C,CJK_Extension_A,槴,(U+69F4),C,CJK_Unified_Ideographs,NS;hydzd
㨮,(U+3A2E),C,CJK_Extension_A,兜,(U+515C),A,CJK_Unified_Ideographs,NS
㨯,(U+3A2F),Z,CJK_Extension_A,擴,(U+64F4),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㨰,(U+3A30),C,CJK_Extension_A,滾,(U+6EFE),A,CJK_Unified_Ideographs,NS
㨲,(U+3A32),Z,CJK_Extension_A,搽,(U+643D),A,CJK_Unified_Ideographs,NS
㨳,(U+3A33),C,CJK_Extension_A,庋,(U+5E8B),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㨴,(U+3A34),C,CJK_Extension_A,建,(U+5EFA),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㨵,(U+3A35),Z,CJK_Extension_A,揃,(U+63C3),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㨶,(U+3A36),Z,CJK_Extension_A,擣,(U+64E3),B,CJK_Unified_Ideographs,NS;twedu
㨹,(U+3A39),C,CJK_Extension_A,槥,(U+69E5),B,CJK_Unified_Ideographs,NS
㨺,(U+3A3A),C,CJK_Extension_A,捫,(U+636B),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㨻,(U+3A3B),C,CJK_Extension_A,擊,(U+64CA),A,CJK_Unified_Ideographs,NS;twedu
㨼,(U+3A3C),Z,CJK_Extension_A,掠,(U+63A0),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㨽,(U+3A3D),Z,CJK_Extension_A,副,(U+526F),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩀,(U+3A40),Z,CJK_Extension_A,據,(U+64DA),A,CJK_Unified_Ideographs,MOE;NS;twedu
㩁,(U+3A41),Z,CJK_Extension_A,搉,(U+6409),B,CJK_Unified_Ideographs,MOE;NS;unihan_semantic;unihan_zvariant
㩂,(U+3A42),Z,CJK_Extension_A,槲,(U+69F2),B,CJK_Unified_Ideographs,NS
㩃,(U+3A43),Z,CJK_Extension_A,搴,(U+6434),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩄,(U+3A44),C,CJK_Extension_A,崽,(U+5D3D),B,CJK_Unified_Ideographs,NS
㩅,(U+3A45),Z,CJK_Extension_A,抽,(U+62BD),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩆,(U+3A46),C,CJK_Extension_A,僦,(U+50E6),B,CJK_Unified_Ideographs,NS
㩇,(U+3A47),C,CJK_Extension_A,畫,(U+756B),A,CJK_Unified_Ideographs,NS
㩈,(U+3A48),C,CJK_Extension_A,捃,(U+6343),B,CJK_Unified_Ideographs,NS;twedu
㩋,(U+3A4B),C,CJK_Extension_A,潚,(U+6F5A),B,CJK_Unified_Ideographs,NS
㩍,(U+3A4D),C,CJK_Extension_A,策,(U+7B56),A,CJK_Unified_Ideographs,NS
㩎,(U+3A4E),Z,CJK_Extension_A,擫,(U+64EB),B,CJK_Unified_Ideographs,MOE;NS;twedu
㩒,(U+3A52),Z,CJK_Extension_A,擒,(U+64D2),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩓,(U+3A53),Z,CJK_Extension_A,擊,(U+64CA),A,CJK_Unified_Ideographs,NS
㩔,(U+3A54),Z,CJK_Extension_A,澱,(U+6FB1),A,CJK_Unified_Ideographs,NS
㩕,(U+3A55),Z,CJK_Extension_A,拎,(U+62CE),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩖,(U+3A56),C,CJK_Extension_A,橿,(U+6A7F),C,CJK_Unified_Ideographs,NS
㩗,(U+3A57),Z,CJK_Extension_A,攜,(U+651C),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩘,(U+3A58),Z,CJK_Extension_A,檥,(U+6AA5),B,CJK_Unified_Ideographs,MOE;NS;twedu
㩙,(U+3A59),Z,CJK_Extension_A,塞,(U+585E),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩚,(U+3A5A),C,CJK_Extension_A,檬,(U+6AAC),A,CJK_Unified_Ideographs,NS
㩛,(U+3A5B),Z,CJK_Extension_A,摶,(U+6476),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩝,(U+3A5D),C,CJK_Extension_A,壕,(U+58D5),A,CJK_Unified_Ideographs,NS
㩡,(U+3A61),C,CJK_Extension_A,拓,(U+62D3),A,CJK_Unified_Ideographs,NS
㩢,(U+3A62),C,CJK_Extension_A,襪,(U+896A),A,CJK_Unified_Ideographs,NS
㩣,(U+3A63),C,CJK_Extension_A,揮,(U+63EE),A,CJK_Unified_Ideographs,NS;hydzd
㩤,(U+3A64),C,CJK_Extension_A,敷,(U+6577),A,CJK_Unified_Ideographs,NS;twedu
㩥,(U+3A65),Z,CJK_Extension_A,摻,(U+647B),B,CJK_Unified_Ideographs,NS
㩦,(U+3A66),Z,CJK_Extension_A,攜,(U+651C),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㩨,(U+3A68),C,CJK_Extension_A,慧,(U+6167),A,CJK_Unified_Ideographs,NS
㩩,(U+3A69),C,CJK_Extension_A,潁,(U+6F41),B,CJK_Unified_Ideographs,NS
㩪,(U+3A6A),Z,CJK_Extension_A,擷,(U+64F7),B,CJK_Unified_Ideographs,MOE;NS;twedu
㩫,(U+3A6B),Z,CJK_Extension_A,攅,(U+6505),Z,CJK_Unified_Ideographs,NS
㩬,(U+3A6C),Z,CJK_Extension_A,戯,(U+622F),Z,CJK_Unified_Ideographs,NS
㩭,(U+3A6D),Z,CJK_Extension_A,握,(U+63E1),A,CJK_Unified_Ideographs,NS
㩭,(U+3A6D),Z,CJK_Extension_A,𫽊,(U+2BF4A),Z,CJK_Extension_E,cjkvi_variants
㩯,(U+3A6F),C,CJK_Extension_A,搬,(U+642C),A,CJK_Unified_Ideographs,NS
㩰,(U+3A70),Z,CJK_Extension_A,藻,(U+85FB),A,CJK_Unified_Ideographs,NS
㩴,(U+3A74),C,CJK_Extension_A,攫,(U+652B),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㩵,(U+3A75),C,CJK_Extension_A,瓛,(U+74DB),B,CJK_Unified_Ideographs,NS
㩶,(U+3A76),C,CJK_Extension_A,獮,(U+736E),B,CJK_Unified_Ideographs,NS
㩷,(U+3A77),C,CJK_Extension_A,騫,(U+9A2B),A,CJK_Unified_Ideographs,NS
㩹,(U+3A79),C,CJK_Extension_A,疊,(U+758A),A,CJK_Unified_Ideographs,NS
㩺,(U+3A7A),Z,CJK_Extension_A,歧,(U+6B67),A,CJK_Unified_Ideographs,NS
㩻,(U+3A7B),C,CJK_Extension_A,攰,(U+6530),Z,CJK_Unified_Ideographs,NS;hydzd
㩽,(U+3A7D),C,CJK_Extension_A,敕,(U+6555),B,CJK_Unified_Ideographs,NS;twedu
㩾,(U+3A7E),C,CJK_Extension_A,豉,(U+8C49),A,CJK_Unified_Ideographs,NS
㩿,(U+3A7F),C,CJK_Extension_A,乞,(U+4E5E),A,CJK_Unified_Ideographs,NS
㪁,(U+3A81),C,CJK_Extension_A,拑,(U+62D1),B,CJK_Unified_Ideographs,NS;hydzd
㪂,(U+3A82),Z,CJK_Extension_A,乞,(U+4E5E),A,CJK_Unified_Ideographs,NS
㪃,(U+3A83),Z,CJK_Extension_A,敧,(U+6567),B,CJK_Unified_Ideographs,NS
㪄,(U+3A84),C,CJK_Extension_A,弗,(U+5F17),A,CJK_Unified_Ideographs,NS
㪅,(U+3A85),Z,CJK_Extension_A,更,(U+66F4),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㪆,(U+3A86),Z,CJK_Extension_A,氐,(U+6C10),A,CJK_Unified_Ideographs,NS
㪇,(U+3A87),C,CJK_Extension_A,兟,(U+515F),C,CJK_Unified_Ideographs,NS
㪈,(U+3A88),C,CJK_Extension_A,封,(U+5C01),A,CJK_Unified_Ideographs,NS
㪉,(U+3A89),Z,CJK_Extension_A,合,(U+5408),A,CJK_Unified_Ideographs,NS;hydzd
㪉,(U+3A89),Z,CJK_Extension_A,敆,(U+6546),B,CJK_Unified_Ideographs,MOE;twedu
㪊,(U+3A8A),Z,CJK_Extension_A,群,(U+7FA4),A,CJK_Unified_Ideographs,NS
㪋,(U+3A8B),C,CJK_Extension_A,扞,(U+625E),B,CJK_Unified_Ideographs,NS;hydzd
㪌,(U+3A8C),C,CJK_Extension_A,捅,(U+6345),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㪎,(U+3A8E),C,CJK_Extension_A,郟,(U+90DF),B,CJK_Unified_Ideographs,NS
㪏,(U+3A8F),C,CJK_Extension_A,捭,(U+636D),B,CJK_Unified_Ideographs,NS;hydzd
㪐,(U+3A90),Z,CJK_Extension_A,敍,(U+654D),Z,CJK_Unified_Ideographs,NS
㪑,(U+3A91),C,CJK_Extension_A,奄,(U+5944),A,CJK_Unified_Ideographs,NS
㪒,(U+3A92),C,CJK_Extension_A,兒,(U+5152),A,CJK_Unified_Ideographs,NS
㪓,(U+3A93),C,CJK_Extension_A,乖,(U+4E56),A,CJK_Unified_Ideographs,NS
㪔,(U+3A94),Z,CJK_Extension_A,散,(U+6563),A,CJK_Unified_Ideographs,NS;hydzd
㪕,(U+3A95),C,CJK_Extension_A,戟,(U+621F),A,CJK_Unified_Ideographs,NS
㪖,(U+3A96),C,CJK_Extension_A,敍,(U+654D),Z,CJK_Unified_Ideographs,NS
㪘,(U+3A98),Z,CJK_Extension_A,斂,(U+6582),A,CJK_Unified_Ideographs,NS
㪙,(U+3A99),Z,CJK_Extension_A,夥,(U+5925),A,CJK_Unified_Ideographs,NS
㪙,(U+3A99),Z,CJK_Extension_A,敤,(U+6564),B,CJK_Unified_Ideographs,MOE
㪚,(U+3A9A),Z,CJK_Extension_A,散,(U+6563),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㪛,(U+3A9B),Z,CJK_Extension_A,戡,(U+6221),A,CJK_Unified_Ideographs,NS
㪜,(U+3A9C),C,CJK_Extension_A,捶,(U+6376),A,CJK_Unified_Ideographs,NS;hydzd
㪝,(U+3A9D),C,CJK_Extension_A,柬,(U+67EC),A,CJK_Unified_Ideographs,NS;hydzd
㪞,(U+3A9E),C,CJK_Extension_A,毷,(U+6BF7),C,CJK_Unified_Ideographs,NS
㪟,(U+3A9F),Z,CJK_Extension_A,敦,(U+6566),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㪠,(U+3AA0),C,CJK_Extension_A,歉,(U+6B49),A,CJK_Unified_Ideographs,NS
㪢,(U+3AA2),C,CJK_Extension_A,捎,(U+634E),A,CJK_Unified_Ideographs,NS
㪣,(U+3AA3),Z,CJK_Extension_A,敲,(U+6572),A,CJK_Unified_Ideographs,MOE;hydzd;twedu
㪤,(U+3AA4),C,CJK_Extension_A,畢,(U+7562),A,CJK_Unified_Ideographs,NS;hydzd
㪥,(U+3AA5),C,CJK_Extension_A,覰,(U+89B0),Z,CJK_Unified_Ideographs,NS
㪧,(U+3AA7),Z,CJK_Extension_A,歙,(U+6B59),A,CJK_Unified_Ideographs,NS
㪨,(U+3AA8),C,CJK_Extension_A,繕,(U+7E55),A,CJK_Unified_Ideographs,NS;hydzd
㪩,(U+3AA9),C,CJK_Extension_A,肅,(U+8085),A,CJK_Unified_Ideographs,NS
㪬,(U+3AAC),C,CJK_Extension_A,戳,(U+6233),A,CJK_Unified_Ideographs,NS
㪭,(U+3AAD),C,CJK_Extension_A,盧,(U+76E7),A,CJK_Unified_Ideographs,NS
㪮,(U+3AAE),C,CJK_Extension_A,霝,(U+971D),C,CJK_Unified_Ideographs,NS
㪯,(U+3AAF),Z,CJK_Extension_A,舉,(U+8209),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㪰,(U+3AB0),Z,CJK_Extension_A,齋,(U+9F4B),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㪱,(U+3AB1),C,CJK_Extension_A,瑍,(U+744D),C,CJK_Unified_Ideographs,NS
㪴,(U+3AB4),C,CJK_Extension_A,刓,(U+5213),B,CJK_Unified_Ideographs,NS
㪵,(U+3AB5),C,CJK_Extension_A,判,(U+5224),A,CJK_Unified_Ideographs,NS
㪸,(U+3AB8),Z,CJK_Extension_A,斟,(U+659F),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㪹,(U+3AB9),C,CJK_Extension_A,數,(U+6578),A,CJK_Unified_Ideographs,NS
㪺,(U+3ABA),C,CJK_Extension_A,𣂏,(U+2308F),Z,CJK_Extension_B,NS;hydzd
㪻,(U+3ABB),C,CJK_Extension_A,孿,(U+5B7F),A,CJK_Unified_Ideographs,NS
㪼,(U+3ABC),C,CJK_Extension_A,斫,(U+65AB),A,CJK_Unified_Ideographs,NS
㪽,(U+3ABD),Z,CJK_Extension_A,所,(U+6240),A,CJK_Unified_Ideographs,MOE;NS
㪾,(U+3ABE),C,CJK_Extension_A,各,(U+5404),A,CJK_Unified_Ideographs,NS
㪿,(U+3ABF),Z,CJK_Extension_A,折,(U+6298),A,CJK_Unified_Ideographs,MOE;NS;twedu
㫀,(U+3AC0),Z,CJK_Extension_A,鼎,(U+9F0E),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㫁,(U+3AC1),Z,CJK_Extension_A,斷,(U+65B7),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㫂,(U+3AC2),C,CJK_Extension_A,庶,(U+5EB6),A,CJK_Unified_Ideographs,NS
㫄,(U+3AC4),Z,CJK_Extension_A,旁,(U+65C1),A,CJK_Unified_Ideographs,MOE;hydzd;twedu
㫅,(U+3AC5),Z,CJK_Extension_A,旗,(U+65D7),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㫆,(U+3AC6),Z,CJK_Extension_A,於,(U+65BC),A,CJK_Unified_Ideographs,NS
㫉,(U+3AC9),Z,CJK_Extension_A,旎,(U+65CE),A,CJK_Unified_Ideographs,NS
