simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
睐,(U+7750),睞,(U+775E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,291
睁,(U+7741),睜,(U+775C),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,306
眬,(U+772C),矓,(U+77D3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,35
眍,(U+770D),瞘,(U+7798),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
盘,(U+76D8),盤,(U+76E4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,18405
矶,(U+77F6),磯,(U+78EF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,480
稣,(U+7A23),穌,(U+7A4C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1452
税,(U+7A0E),稅,(U+7A05),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,4553
秾,(U+79FE),穠,(U+7A60),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,126
秽,(U+79FD),穢,(U+7A62),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,30042
祸,(U+7978),禍,(U+798D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14213
祷,(U+7977),禱,(U+79B1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5329
祯,(U+796F),禎,(U+798E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3488
祎,(U+794E),禕,(U+7995),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,535
祃,(U+7943),禡,(U+79A1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,23
砾,(U+783E),礫,(U+792B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3871
碛,(U+789B),磧,(U+78E7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9944
硵,(U+7875),磠,(U+78E0),opencc_s2t;unihan_simplified;unihan_traditional,0,2
硚,(U+785A),礄,(U+7904),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,20
硙,(U+7859),磑,(U+78D1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,339
硗,(U+7857),磽,(U+78FD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,169
硖,(U+7856),硤,(U+7864),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,403
硕,(U+7855),碩,(U+78A9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2913
硁,(U+7841),硜,(U+785C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,130
础,(U+7840),礎,(U+790E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1583
碜,(U+789C),磣,(U+78E3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,255
疮,(U+75AE),瘡,(U+7621),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7762
疭,(U+75AD),瘲,(U+7632),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4
疬,(U+75AC),癧,(U+7667),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,26
疡,(U+75A1),瘍,(U+760D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,142
疠,(U+75A0),癘,(U+7658),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1365
疟,(U+759F),瘧,(U+7627),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,920
疗,(U+7597),療,(U+7642),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5107
疖,(U+7596),癤,(U+7664),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,101
畴,(U+7574),疇,(U+7587),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2605
监,(U+76D1),監,(U+76E3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,23196
瓯,(U+74EF),甌,(U+750C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1488
瓒,(U+74D2),瓚,(U+74DA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1743
璎,(U+748E),瓔,(U+74D4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12781
瑸,(U+7478),璸,(U+74B8),opencc_s2t;unihan_simplified;unihan_traditional,0,33
瑷,(U+7477),璦,(U+74A6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5
琼,(U+743C),瓊,(U+74CA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4589
琐,(U+7410),瑣,(U+7463),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1715
琏,(U+740F),璉,(U+7489),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1627
琎,(U+740E),璡,(U+74A1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,243
畅,(U+7545),暢,(U+66A2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9416
盐,(U+76D0),鹽,(U+9E7D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9891
盏,(U+76CF),盞,(U+76DE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2416
皲,(U+76B2),皸,(U+76B8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,38
皑,(U+7691),皚,(U+769A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,121
癫,(U+766B),癲,(U+7672),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,939
癣,(U+7663),癬,(U+766C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,457
癞,(U+765E),癩,(U+7669),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1957
瘿,(U+763F),癭,(U+766D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,522
瘾,(U+763E),癮,(U+766E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,42
疯,(U+75AF),瘋,(U+760B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,259
瘪,(U+762A),癟,(U+765F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3
瘗,(U+7617),瘞,(U+761E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2036
瘆,(U+7606),瘮,(U+762E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8
瘅,(U+7605),癉,(U+7649),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,68
痫,(U+75EB),癇,(U+7647),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,87
痪,(U+75EA),瘓,(U+7613),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,42
痨,(U+75E8),癆,(U+7646),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,43
痖,(U+75D6),瘂,(U+7602),opencc_s2t;unihan_simplified;unihan_traditional,0,2265
痉,(U+75C9),痙,(U+75D9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14
痈,(U+75C8),癰,(U+7670),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1769
瘫,(U+762B),癱,(U+7671),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,54
纶,(U+7EB6),綸,(U+7DB8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4057
纵,(U+7EB5),縱,(U+7E31),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,42717
纴,(U+7EB4),紝,(U+7D1D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,70
纳,(U+7EB3),納,(U+7D0D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,27578
纲,(U+7EB2),綱,(U+7DB1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,16390
纱,(U+7EB1),紗,(U+7D17),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1085
纰,(U+7EB0),紕,(U+7D15),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,350
纯,(U+7EAF),純,(U+7D14),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,28447
纮,(U+7EAE),紘,(U+7D18),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,587
稳,(U+7A33),穩,(U+7A69),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7185
纫,(U+7EAB),紉,(U+7D09),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,303
纪,(U+7EAA),紀,(U+7D00),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,32362
纩,(U+7EA9),纊,(U+7E8A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,574
纨,(U+7EA8),紈,(U+7D08),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,334
级,(U+7EA7),級,(U+7D1A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8424
约,(U+7EA6),約,(U+7D04),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,142049
纥,(U+7EA5),紇,(U+7D07),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2582
纣,(U+7EA3),紂,(U+7D02),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1289
红,(U+7EA2),紅,(U+7D05),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,19709
纬,(U+7EAC),緯,(U+7DEF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2966
绌,(U+7ECC),絀,(U+7D40),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,165
绋,(U+7ECB),紼,(U+7D3C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,102
绊,(U+7ECA),絆,(U+7D46),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1264
绉,(U+7EC9),縐,(U+7E10),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,63
终,(U+7EC8),終,(U+7D42),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,150473
细,(U+7EC6),細,(U+7D30),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,61862
绅,(U+7EC5),紳,(U+7D33),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3214
组,(U+7EC4),組,(U+7D44),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4792
练,(U+7EC3),練,(U+7DF4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12256
纷,(U+7EB7),紛,(U+7D1B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11610
绁,(U+7EC1),紲,(U+7D32),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,237
绀,(U+7EC0),紺,(U+7D3A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3311
纾,(U+7EBE),紓,(U+7D13),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,262
纽,(U+7EBD),紐,(U+7D10),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2862
纼,(U+7EBC),紖,(U+7D16),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,49
纻,(U+7EBB),紵,(U+7D35),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,642
纺,(U+7EBA),紡,(U+7D21),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,560
纹,(U+7EB9),紋,(U+7D0B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1547
纸,(U+7EB8),紙,(U+7D19),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,25894
绂,(U+7EC2),紱,(U+7D31),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,379
筹,(U+7B79),籌,(U+7C4C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8289
筝,(U+7B5D),箏,(U+7B8F),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,459
筜,(U+7B5C),簹,(U+7C39),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,37
筛,(U+7B5B),篩,(U+7BE9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,685
筚,(U+7B5A),篳,(U+7BF3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,116
笾,(U+7B3E),籩,(U+7C69),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,272
笼,(U+7B3C),籠,(U+7C60),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9694
笺,(U+7B3A),箋,(U+7B8B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6724
笕,(U+7B15),筧,(U+7B67),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,172
纡,(U+7EA1),紆,(U+7D06),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1385
竞,(U+7ADE),競,(U+7AF6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11206
窭,(U+7AAD),窶,(U+7AB6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,563
窦,(U+7AA6),竇,(U+7AC7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13781
窥,(U+7AA5),窺,(U+7ABA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6239
窜,(U+7A9C),竄,(U+7AC4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2037
窎,(U+7A8E),窵,(U+7AB5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11
窍,(U+7A8D),竅,(U+7AC5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3357
穞,(U+7A5E),穭,(U+7A6D),opencc_s2t,0,42
穑,(U+7A51),穡,(U+7A61),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,901
笃,(U+7B03),篤,(U+7BE4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7888
纠,(U+7EA0),糾,(U+7CFE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2002
絷,(U+7D77),縶,(U+7E36),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,707
紧,(U+7D27),緊,(U+7DCA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8267
糁,(U+7CC1),糝,(U+7CDD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,615
粪,(U+7CAA),糞,(U+7CDE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,10538
粝,(U+7C9D),糲,(U+7CF2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,378
类,(U+7C7B),類,(U+985E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,133041
簖,(U+7C16),籪,(U+7C6A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12
篯,(U+7BEF),籛,(U+7C5B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,36
筼,(U+7B7C),篔,(U+7BD4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,41
篓,(U+7BD3),簍,(U+7C0D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,42
篑,(U+7BD1),簣,(U+7C23),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,682
箫,(U+7BAB),簫,(U+7C2B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1459
箪,(U+7BAA),簞,(U+7C1E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,364
箩,(U+7BA9),籮,(U+7C6E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,378
箨,(U+7BA8),籜,(U+7C5C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,334
箧,(U+7BA7),篋,(U+7BCB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2596
箦,(U+7BA6),簀,(U+7C00),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,152
简,(U+7B80),簡,(U+7C21),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,49793
筿,(U+7B7F),篠,(U+7BE0),opencc_s2t,0,171
篮,(U+7BEE),籃,(U+7C43),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1745
谦,(U+8C26),謙,(U+8B19),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13759
谤,(U+8C24),謗,(U+8B17),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,33242
谣,(U+8C23),謠,(U+8B20),opencc_s2t;unihan_simplified;unihan_traditional,0,1659
谢,(U+8C22),謝,(U+8B1D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,33385
谡,(U+8C21),謖,(U+8B16),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,174
谠,(U+8C20),讜,(U+8B9C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,595
谟,(U+8C1F),謨,(U+8B28),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9120
谞,(U+8C1E),諝,(U+8ADD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,185
谝,(U+8C1D),諞,(U+8ADE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7
荧,(U+8367),熒,(U+7192),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4606
谛,(U+8C1B),諦,(U+8AE6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,168628
谚,(U+8C1A),諺,(U+8AFA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,992
谙,(U+8C19),諳,(U+8AF3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2243
谘,(U+8C18),諮,(U+8AEE),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,7172
谗,(U+8C17),讒,(U+8B92),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2267
谖,(U+8C16),諼,(U+8AFC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,70
谕,(U+8C15),諭,(U+8AED),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6661
谔,(U+8C14),諤,(U+8AE4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,374
谓,(U+8C13),謂,(U+8B02),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,672557
谜,(U+8C1C),謎,(U+8B0E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,786
贠,(U+8D20),貟,(U+8C9F),opencc_s2t;unihan_simplified;unihan_traditional,0,255
负,(U+8D1F),負,(U+8CA0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,29531
贞,(U+8D1E),貞,(U+8C9E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,21456
贝,(U+8D1D),貝,(U+8C9D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7535
豮,(U+8C6E),豶,(U+8C76),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,15
谶,(U+8C36),讖,(U+8B96),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5384
谵,(U+8C35),譫,(U+8B6B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,114
谴,(U+8C34),譴,(U+8B74),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1200
谳,(U+8C33),讞,(U+8B9E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,144
谧,(U+8C27),謐,(U+8B10),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1636
谱,(U+8C31),譜,(U+8B5C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3409
谰,(U+8C30),讕,(U+8B95),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,36
谯,(U+8C2F),譙,(U+8B59),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2027
谮,(U+8C2E),譖,(U+8B56),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1107
谭,(U+8C2D),譚,(U+8B5A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6387
谬,(U+8C2C),謬,(U+8B2C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,15523
谪,(U+8C2A),謫,(U+8B2B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1576
谩,(U+8C29),謾,(U+8B3E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5916
谨,(U+8C28),謹,(U+8B39),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,15332
谲,(U+8C32),譎,(U+8B4E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,647
诽,(U+8BFD),誹,(U+8AB9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7146
诼,(U+8BFC),諑,(U+8AD1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7
读,(U+8BFB),讀,(U+8B80),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,45297
诺,(U+8BFA),諾,(U+8AFE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7623
诹,(U+8BF9),諏,(U+8ACF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,149
诸,(U+8BF8),諸,(U+8AF8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1162026
请,(U+8BF7),請,(U+8ACB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,176025
诶,(U+8BF6),誒,(U+8A92),opencc_s2t;unihan_simplified;unihan_traditional,0,26
诵,(U+8BF5),誦,(U+8AA6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,103177
谒,(U+8C12),謁,(U+8B01),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,15523
诳,(U+8BF3),誑,(U+8A91),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,15019
诲,(U+8BF2),誨,(U+8AA8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9043
诱,(U+8BF1),誘,(U+8A98),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8935
诰,(U+8BF0),誥,(U+8AA5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3347
误,(U+8BEF),誤,(U+8AA4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,28584
诮,(U+8BEE),誚,(U+8A9A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1084
语,(U+8BED),語,(U+8A9E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,311405
诬,(U+8BEC),誣,(U+8AA3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4600
诫,(U+8BEB),誡,(U+8AA1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,19046
说,(U+8BF4),說,(U+8AAA),opencc_s2t;unihan_simplified;unihan_traditional,0,1221424
谑,(U+8C11),謔,(U+8B14),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,776
谐,(U+8C10),諧,(U+8AE7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2942
谏,(U+8C0F),諫,(U+8AEB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,17620
谎,(U+8C0E),謊,(U+8B0A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,183
谍,(U+8C0D),諜,(U+8ADC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,403
谌,(U+8C0C),諶,(U+8AF6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,830
谋,(U+8C0B),謀,(U+8B00),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,16909
谊,(U+8C0A),誼,(U+8ABC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3673
谉,(U+8C09),讅,(U+8B85),opencc_s2t;unihan_simplified;unihan_traditional,0,2
课,(U+8BFE),課,(U+8AB2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5189
谇,(U+8C07),誶,(U+8AB6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,106
谆,(U+8C06),諄,(U+8AC4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1496
谅,(U+8C05),諒,(U+8AD2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3124
谄,(U+8C04),諂,(U+8AC2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9579
调,(U+8C03),調,(U+8ABF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,56234
谂,(U+8C02),諗,(U+8AD7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,709
谁,(U+8C01),誰,(U+8AB0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,77615
谀,(U+8C00),諛,(U+8ADB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1510
诿,(U+8BFF),諉,(U+8AC9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,173
谈,(U+8C08),談,(U+8AC7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,34492
赡,(U+8D61),贍,(U+8D0D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5668
赠,(U+8D60),贈,(U+8D08),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,19905
赟,(U+8D5F),贇,(U+8D07),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,319
赜,(U+8D5C),賾,(U+8CFE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2034
赛,(U+8D5B),賽,(U+8CFD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1180
赚,(U+8D5A),賺,(U+8CFA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2335
赙,(U+8D59),賻,(U+8CFB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,518
赘,(U+8D58),贅,(U+8D05),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1356
赗,(U+8D57),賵,(U+8CF5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,155
贡,(U+8D21),貢,(U+8CA2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,10883
赕,(U+8D55),賧,(U+8CE7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,44
赔,(U+8D54),賠,(U+8CE0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,198
赓,(U+8D53),賡,(U+8CE1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,527
赒,(U+8D52),賙,(U+8CD9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,173
赑,(U+8D51),贔,(U+8D14),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,74
赐,(U+8D50),賜,(U+8CDC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,39579
赏,(U+8D4F),賞,(U+8CDE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13147
