simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
叠,(U+53E0),疊,(U+758A),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,309,9739
擧,,舉,,,308,186582
逺,,遠,,,304,157311
邉,,邊,,,302,143755
卽,,即,,,289,978509
𠡠,(U+20860),勑,(U+52D1),opencc_s2t;unihan_simplified;unihan_traditional,283,5278
変,,變,,,273,135565
𪏭,,黎,,,272,18431
亾,,亡,,,271,50592
歴,,歷,,,270,53926
悳,,德,,,269,410873
䧟,,陷,,,267,11473
蚕,(U+8695),蠶,(U+8836),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,267,2568
塩,,鹽,,,263,9891
担,(U+62C5),擔,(U+64D4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,259,15723
貟,,員,,,255,11209
温,(U+6E29),溫,(U+6EAB),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,255,17366
条,(U+6761),條,(U+689D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,252,29913
霛,,靈,,,252,99676
㝠,,冥,,,252,28584
矦,,侯,,,246,33321
响,(U+54CD),響,(U+97FF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,245,22543
迁,(U+8FC1),遷,(U+9077),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,234,44091
聼,,聽,,,234,113562
么,(U+4E48),麼,(U+9EBC),,233,237131
么,(U+4E48),麼,(U+9EBC),opencc_s2t;unihan_simplified;unihan_traditional,233,237131
国,(U+56FD),國,(U+570B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,231,330768
寛,,寬,,,231,17186
潜,(U+6F5C),潛,(U+6F5B),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,228,15552
㪅,,更,,,214,174659
覌,,觀,,,213,499313
縁,,緣,,,212,633393
叙,(U+53D9),敘,(U+6558),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,211,24922
廽,,迴,,,208,67496
継,U+7D99,繼,(U+7E7C),,203,22254
緑,,綠,,,201,9401
皙,,晳,,,200,202
㤙,,恩,,,199,58979
渉,,涉,,,198,25520
僃,,備,,,198,40524
举,(U+4E3E),舉,(U+8209),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,196,186582
㝛,,宿,,,195,70357
両,,兩,,,193,145665
旧,(U+65E7),舊,(U+820A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,193,69601
尔,(U+5C14),爾,(U+723E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,190,244834
苖,,苗,,,190,6351
廵,,巡,,,187,9260
奥,(U+5965),奧,(U+5967),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,187,8592
乆,,久,,,186,106555
听,(U+542C),聽,(U+807D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,184,113562
网,(U+7F51),網,(U+7DB2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,181,29810
慿,,憑,,,177,12763
録,,錄,,,172,90292
敇,,敕,,,169,11625
聮,,聯,,,168,6647
悮,(U+60AE),悞,(U+609E),opencc_s2t;unihan_simplified;unihan_traditional,168,6103
穪,,稱,,,167,155398
坯,,壞,,,167,103130
総,,總,,,165,167134
篚,,匪,,,161,5285
徴,,徵,,,161,37436
椉,,乘,,,159,305969
𤰞,,卑,,,156,13708
弥,(U+5F25),彌,(U+5F4C),,154,127582
届,(U+5C4A),屆,(U+5C46),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,154,1798
浄,U+6D44,淨,U+6DE8,,153,580299
气,(U+6C14),氣,(U+6C23),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,153,80688
冈,(U+5188),岡,(U+5CA1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,149,2977
実,,實,,,149,411879
暜,,普,,,149,154986
泪,(U+6CEA),淚,(U+6DDA),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,148,7887
朢,,望,,,146,77179
䕃,,蔭,,,146,5633
聴,,聽,,,145,113562
粤,(U+7CA4),粵,(U+7CB5),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,145,1420
㨗,,捷,,,144,6310
袜,(U+889C),襪,(U+896A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,141,768
毁,,毀,,,140,37973
罗,(U+7F57),羅,(U+7F85),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,139,575755
㘴,,坐,,,138,162204
䘮,,喪,,,136,24060
㐲,,伏,,,134,89757
髙,,高,,,133,180770
茍,,苟,,,131,12937
帯,,帶,,,127,27587
朶,,朵,,,123,2701
吕,(U+5415),呂,(U+5442),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,122,9549
