person_name,dynasty,work_count,functions,sample_kr_id,qid
趙希弁,宋,1,編;續輯,KR2n0002,Q17040554
趙希鵠,宋,1,撰,KR3j0167,Q3575397
趙師使,宋,1,撰,KR4j0024,Q45380114
趙彥衞,宋,1,撰,KR3j0117,
趙時庾,宋,1,撰,KR3i0036,
趙與虤,宋,1,撰,KR4i0038,
郭守正,宋,1,增修,KR1j0062,
郭知達,宋,1,集注,KR4c0015,
郭稽中,宋,1,編,KR3e0040,
鄧椿年,宋,1,編,KR3k0018,
鄭玉道,宋,1,撰,KR3j0126,
釋惠遠,宋,1,撰,KR2k0084,
釋普濟,宋,1,撰,KR6q0012,Q45673965
釋覺慈,宋,1,編,KR4d0095,
陰復春,宋,1,編,KR3k0039,
陳仁子,宋,1,輯,KR4h0061,Q45635560
陳元靚,宋,1,撰,KR2j0001,Q15897716
陳槱,宋,1,撰,KR3j0168,
陳紹夫,宋,1,編,KR4d0039,
陳起,宋,2,編,KR4h0053,
陳顯微,宋,1,撰,KR5d0025,
陸子虛,宋,1,編,KR4d0267,
韓祗和,宋,1,撰,KR3e0025,
章沖,宋,1,撰,KR2c0003,
馬令,宋,1,撰,KR2i0017,
馬永易,宋,1,撰,KR3k0015,
馬純,宋,1,撰,KR3l0120,
高保衡,宋,2,校正;校注,KR3e0005,
高晦叟,宋,1,撰,KR3l0050,
魏仲舉,宋,2,編,KR4c0045,
魏齊賢,宋,1,編,KR4h0043,
黃庶,宋,1,撰,KR4d0037,
黃彥平,宋,1,撰,KR4d0165,
黎立武,宋,1,撰,KR1h0027,
馮繼先,後蜀,1,撰,KR1e0016,Q65892755
太宰純,日本,1,音,KR1f0003,
山井鼎,日本,1,撰,KR1g0020,
丘爾穀,明,1,編,KR4e0115,
于文煕,明,1,補,KR3j0102,
劉仔肩,明,1,編,KR4h0094,
劉允鵬,明,1,注,KR3k0005,
劉梗,明,1,編,KR4d0256,
劉潤之,明,1,編,KR4h0015,
劉純續,明,1,增,KR3e0068,
吳之鯨,明,1,撰,KR2k0098,
周子愚,明,1,筆錄,KR3f0010,
唐之淳,明,1,撰,KR4e0082,
唐元竑,明,1,撰,KR4c0019,
孫雲翼,明,2,注;箋注,KR4d0288,
宋公傳,明,1,編,KR4h0100,
宋挺佐,明,1,輯,KR4d0452,
宋詡,明,1,撰,KR3j0171,
張丁,明,2,撰;註,KR4d0391,
張丑,明,4,撰,KR3h0055,
張以寧,明,2,撰,KR1e0072,
張內蘊,明,1,撰,KR2k0070,
張自勳,明,1,撰,KR2b0020,
彭大翼,明,1,撰,KR3k0052,
徐伯齡,明,1,撰,KR3j0152,
徐宏祖,明,1,撰,KR2k0135,
戴原禮,明,2,撰;校補,KR3e0062,
戴難,明,1,編,KR4e0098,
方有執,明,1,撰,KR3e0082,
曹安,明,1,撰,KR3j0151,
李希元,明,1,編,KR4d0190,
李蓘,明,2,編,KR4h0113,
柯尚遷,明,1,撰,KR1d0016,
柴復貞,明,1,編,KR4h0068,
楊時偉,明,1,編,KR2g0014,
歐陽鉞,明,1,輯,KR4d0189,
江湛然,明,1,輯,KR4e0218,
池本理,明,1,撰,KR3g0049,
汪砢玉,明,1,撰,KR3h0060,
沈鐵,明,1,編校,KR4e0001,
潘之淙,明,1,撰,KR3h0052,
王原采,明,1,撰,KR4e0076,
王燧,明,1,撰,KR4e0089,
王禕,明,5,刊定;奉敕撰;撰,KR2a0036,
白雲齋,明,1,撰,KR5g0239,
程道生,明,1,撰,KR3g0048,
程長,明,1,輯,KR4e0075,
童佩,明,1,輯編,KR4c0004,
羅𤣱,明,1,撰,KR4e0139,
胡我琨,明,1,撰,KR2m0046,
胡爌,明,1,撰,KR3j0068,
胡粹中,明,1,撰,KR2b0036,
莊煦,明,1,編,KR1h0044,
華汝德,明,1,編,KR4e0118,
葉山,明,1,撰,KR1a0102,
蔣一彪,明,1,撰,KR5d0026,
薛己,明,1,撰,KR3e0070,
薛虞畿,明,1,撰,KR2d0015,
虞堪,明,2,撰;編,KR4d0494,
袁衮,明,1,撰,KR3a0095,
趙宜中,明,1,注,KR1j0088,
郁逢慶,明,1,編,KR3h0054,
郭宗昌,明,1,撰,KR2n0034,
郭良翰,明,1,撰,KR2m0031,
鄧伯羔,明,1,撰,KR3j0061,
釋性𣻢,明,1,編,KR4h0135,
釋正勉,明,1,編,KR4h0135,
錢公善,明,1,編,KR4h0097,
錢子正,明,1,撰,KR4h0097,
錢子義,明,1,撰,KR4h0097,
錢德洪原,明,1,編,KR4e0157,
錢棻,明,1,輯,KR4d0539,
陳懋仁,明,1,注,KR4i0004,
陳朝,明,1,輔輯,KR4d0382,
陳泰交,明,1,撰,KR1b0042,
陳贄和,明,1,韻,KR4d0400,
陸大業,明,1,編,KR4d0391,
項穆,明,1,撰,KR3h0050,
項霦,明,1,撰,KR1f0009,
顧名端,明,1,輯,KR4c0038,
馮琦原,明,1,編,KR2c0007,
駱居安,明,1,編,KR4e0061,
鮑寧,明,1,撰;辨正,KR3g0013,
鮑山,明,1,撰,KR3d0009,
鮑應鼇,明,1,撰,KR2m0030,
黎諒,明,1,編,KR4d0273,
孔晁,晉,1,注,KR2d0001,
嵇含,晉,1,撰,KR2k0104,
范望,晉,1,注,KR3g0001,
陸翽,晉,1,撰,KR2i0004,
馬隆述,晉,1,讚,KR3b0001,
宗懍,梁,1,撰,KR2k0105,
蕭綺,梁,1,輯編,KR3l0098,
詩正,梁,1,奉敕撰,KR3h0062,
釋僧祐,梁,1,撰,KR6r0137,
世宗胤禎,清,1,御定,KR1f0012,
來保,清,2,奉敕撰,KR2c0011,
劉可書,清,1,編,KR4f0017,
劉大勤,清,1,編,KR4i0058,
包儀,清,1,撰,KR1a0135,
厲鄂,清,1,撰,KR2k0132,
吳寶芝,清,1,撰,KR3k0063,
周沈珂,清,1,編,KR4d0065,
周維鑣,清,1,輯,KR4e0130,
喇沙里,清,1,奉敕編,KR1h0053,
姜垐,清,1,撰,KR4f0028,
宋俊,清,1,增補,KR2k0129,
屠文漪,清,1,撰,KR3f0056,
崔衢亭,清,1,奉敕編,KR4f0004,
弘毓圻,清,1,撰,KR2m0033,
張晉生,清,1,編纂,KR2k0052,
張靄生,清,1,編述,KR2k0076,
徐克范,清,1,補,KR2a0005,
徐庭垣,清,1,撰,KR1e0106,
徐文炳,清,1,注,KR4b0019,
曾儼,清,1,編,KR4d0064,
李光暎,清,1,撰,KR2n0042,
李衞,清,1,監修,KR2k0041,
梁賓,清,1,編,KR4b0015,
楊道聲,清,1,撰,KR1a0134,
汪立名,清,1,撰;編注,KR4c0070,
沈名蓀,清,1,輯,KR2h0003,
沈嘉轍,清,1,撰,KR4h0166,
海廷芳,清,1,編,KR4e0207,
潘永因,清,1,編,KR3k0065,
王子接,清,1,撰,KR3e0095,
王孫錫,清,1,編,KR4e0234,
王庭曾,清,1,重編,KR4d0135,
萬樹,清,1,撰,KR4j0087,
程川,清,1,撰,KR1g0027,
程師恭,清,1,註,KR4f0031,
程林,清,1,刪定,KR3e0027,
翟圴廉,清,1,撰,KR1a0162,
胡亦堂,清,1,輯,KR4d0016,
胡鳴玉,清,1,撰,KR3j0078,
范能濬,清,2,輯;輯補,KR4d0025,
葛萬里,清,1,撰,KR3k0064,
蒙古薩囊徹辰,清,1,撰,KR2e0022,
褚峻,清,1,摹圖,KR2n0046,
解悅,清,1,編,KR4e0083,
許重炎,清,1,編,KR4f0036,
趙田恩,清,1,監修,KR2k0042,
趙繼序,清,1,撰,KR1a0161,
連斗山,清,1,撰,KR1a0160,
郭載騋,清,1,校訂,KR3g0031,
鍾淵映,清,1,撰,KR2m0041,
陳倫炯,清,1,撰,KR2k0152,
陳芳生,清,1,撰,KR2m0047,
陸廷燦,清,1,撰,KR3i0024,
陸曾禹,清,1,原撰,KR2m0049,
雷鈜,清,1,撰,KR3a0118,
項夢昶,清,1,編,KR4d0448,
顧藹吉,清,1,撰,KR1j0052,
魏之琇,清,2,撰;考證,KR3e0075,
魏荔彤,清,1,撰,KR1a0136,
黃中松,清,1,撰,KR1c0061,
黃宗義,清,2,撰,KR1d0069,
何休,漢,1,解詁,KR1e0006,
吳平,漢,1,撰,KR2i0002,
孔藏,漢,1,撰,KR3a0003,
荀悅,漢,2,撰,KR2b0003,
衞宏,漢,1,撰,KR2m0020,
黃石公,秦,2,撰,KR3b0007,
耶律純,遼,1,撰,KR3g0039,
韓道昭,金,1,撰,KR1j0064,
杜公瞻,隋,1,撰,KR3k0002,
劉卲,魏,1,撰,KR3j0011,
夏侯陽,,1,撰,KR3f0038,Q37734341
物觀,,1,補遺,KR1g0020,
珞琭子,,1,撰,KR3g0038,
西方子,,1,撰,KR3e0018,
馬后,,1,撰,KR3b0001,
黃帝,,2,撰,KR3g0019,Q29201
