person_name,dynasty,work_count,functions,sample_kr_id,qid,cbdb_id,norbert_id,cbdb_hint
錢公善,明,1,編,KR4h0097,,,,
錢子正,明,1,撰,KR4h0097,,,,
錢子義,明,1,撰,KR4h0097,,,,
錢德洪原,明,1,編,KR4e0157,,,,
錫喇布哈,元,1,編,KR4d0497,,,,
陰勁弦,元,1,編,KR3k0039,,,,
陰復春,宋,1,編,KR3k0039,,,,
陳倫炯,清,1,撰,KR2k0152,,,,
陳宜甫,元,1,撰,KR4d0470,,,,
陳朝,明,1,輔輯,KR4d0382,,,,
陳槱,宋,1,撰,KR3j0168,,,,
陳籲,元,1,編,KR4d0516,,,,
陳紹夫,宋,1,編,KR4d0039,,,,
陳芳生,清,1,撰,KR2m0047,,,,
陳贄和,明,1,韻,KR4d0400,,,,
陳顯微,宋,1,撰,KR5d0025,,,,
陸大業,明,1,編,KR4d0391,,,,
陸子虛,宋,1,編,KR4d0267,,,,
陸廣微,唐,1,撰,KR2k0091,,,,
陸廷燦,清,1,撰,KR3i0024,,,,
陸曾禹,清,1,原撰,KR2m0049,,,,
陸翽,晉,1,撰,KR2i0004,,,,
雷鈜,清,1,撰,KR3a0118,,,,
韓祗和,宋,1,撰,KR3e0025,,,,
韓道昭,金,1,撰,KR1j0064,,,,
項夢昶,清,1,編,KR4d0448,,,,
項穆,明,1,撰,KR3h0050,,,,
項霦,明,1,撰,KR1f0009,,,,
顧名端,明,1,輯,KR4c0038,,,,
饒介之,元,1,輯,KR4d0499,,,,
馬令,宋,1,撰,KR2i0017,,,,
馬后,,1,撰,KR3b0001,,,,
馬隆述,晉,1,讚,KR3b0001,,,,
馮琦原,明,1,編,KR2c0007,,,,
駱居安,明,1,編,KR4e0061,,,,竹齋集→公蕃(cbdb:75377)
高宗趙構,唐,1,御撰,KR3h0013,,,,
高德基,元,1,撰,KR2k0123,,,,
高晦叟,宋,1,撰,KR3l0050,,,,
魏齊賢,宋,1,編,KR4h0043,,,,
鮑山,明,1,撰,KR3d0009,,,,
鮑應鼇,明,1,撰,KR2m0030,,,,
黃中松,清,1,撰,KR1c0061,,,,
黃庶,宋,1,撰,KR4d0037,,,,
黃彥平,宋,1,撰,KR4d0165,,,,
黎立武,宋,1,撰,KR1h0027,,,,
黎諒,明,1,編,KR4d0273,,,,
