source_file,title,KR_ID,EXTENT,SOURCE,author_index,person_name,DATES,DYNASTY,FUNCTION
skqs1.org,周易玩辭困學記,KR1a0114,15 卷,"四庫全書 文淵閣版, V36.2, p383",1,張次仲,1589 - 1676,明,撰
skqs1.org,易經通注,KR1a0115,9 卷,"四庫全書 文淵閣版, V37.1, p1",1,傳以漸,1609 - 1665,清,奉敕撰
skqs1.org,易經通注,KR1a0115,9 卷,"四庫全書 文淵閣版, V37.1, p1",2,曹本榮,,清,奉敕撰
skqs1.org,日講易經解義,KR1a0116,18 卷,"四庫全書 文淵閣版, V37.2, p201",1,牛鈕,,清,奉敕撰
skqs1.org,日講易經解義,KR1a0116,18 卷,"四庫全書 文淵閣版, V37.2, p201",2,孫在豐,,清,奉敕撰
skqs1.org,御纂周易折中,KR1a0117,22 卷,"四庫全書 文淵閣版, V38.1, p1",1,李光地,1642 - 1718,清,奉敕撰
skqs1.org,御纂周易述義,KR1a0118,10 卷,"四庫全書 文淵閣版, V38.2, p595",1,傳恒,d. 1770,清,奉敕撰
skqs1.org,讀易大旨,KR1a0119,5 卷,"四庫全書 文淵閣版, V39.1, p1",1,孫奇逢,1584 - 1675,清,撰
skqs1.org,周易稗疏,KR1a0120,4 卷,"四庫全書 文淵閣版, V39.2, p133",1,王夫之,1619 - 1692,清,撰
skqs1.org,易酌,KR1a0121,14 卷,"四庫全書 文淵閣版, V39.3, p165",1,刁包,1603 - 1669,清,撰
skqs1.org,田間易學,KR1a0122,10 卷,"四庫全書 文淵閣版, V39.4, p597",1,錢澄之,1612 - 1693,清,撰
skqs1.org,易學象數論,KR1a0123,6 卷,"四庫全書 文淵閣版, V40.1, p1",1,黃宗羲,1610 - 1695,清,撰
skqs1.org,周易象辭,KR1a0124,22 卷,"四庫全書 文淵閣版, V40.2, p155",1,黃宗炎,1616 - 1686,清,撰
skqs1.org,周易筮述,KR1a0125,8 卷,"四庫全書 文淵閣版, V41.1, p1",1,王弘撰,,清,撰
skqs1.org,仲氏易,KR1a0126,30 卷,"四庫全書 文淵閣版, V41.2, p183",1,毛奇齡,1623 - 1716,清,撰
skqs1.org,推易始末,KR1a0127,4 卷,"四庫全書 文淵閣版, V41.3, p479",1,毛奇齡,1623 - 1716,清,撰
skqs1.org,春秋占筮書,KR1a0128,3 卷,"四庫全書 文淵閣版, V41.4, p519",1,毛奇齡,1623 - 1716,清,撰
skqs1.org,易小帖,KR1a0129,5 卷,"四庫全書 文淵閣版, V41.5, p549",1,毛奇齡,1623 - 1716,清,撰
skqs1.org,易俟,KR1a0130,18 卷,"四庫全書 文淵閣版, V42.1, p1",1,喬萊,1642 - 1694,清,撰
skqs1.org,讀易日鈔,KR1a0131,8 卷,"四庫全書 文淵閣版, V42.2, p261",1,張烈,1622 - 1685,清,撰
skqs1.org,周易通論,KR1a0132,4 卷,"四庫全書 文淵閣版, V42.3, p535",1,李光地,1642 - 1718,清,撰
skqs1.org,周易觀彖,KR1a0133,12 卷,"四庫全書 文淵閣版, V42.4, p611",1,李光地,1642 - 1718,清,撰
skqs1.org,周易淺述,KR1a0134,8 卷,"四庫全書 文淵閣版, V43.1, p1",1,陳夢雷,d. 1741,清,撰
skqs1.org,周易淺述,KR1a0134,8 卷,"四庫全書 文淵閣版, V43.1, p1",2,楊道聲,,清,撰
skqs1.org,易原就正,KR1a0135,12 卷,"四庫全書 文淵閣版, V43.2, p349",1,包儀,,清,撰
skqs1.org,大易通解,KR1a0136,15 卷,"四庫全書 文淵閣版, V44.1, p1",1,魏荔彤,fl. 1724,清,撰
skqs1.org,易經衷論,KR1a0137,2 卷,"四庫全書 文淵閣版, V44.2, p581",1,張英,1637 - 1708,清,撰
skqs1.org,易圖明辨,KR1a0138,10 卷,"四庫全書 文淵閣版, V44.3, p639",1,胡渭,1633 - 1714,清,撰
skqs1.org,合訂刪補大易集義粹言,KR1a0139,80 卷,"四庫全書 文淵閣版, V45.1, p1 - V46.1",1,納喇性德,1655 - 1685,清,編
skqs1.org,周易傳註,KR1a0140,7 卷,"四庫全書 文淵閣版, V47.1, p1",1,李塨,1659 - 1733,清,撰
skqs1.org,周易劄記,KR1a0141,2 卷,"四庫全書 文淵閣版, V47.2, p209",1,楊名時,1660 - 1736,清,撰
skqs1.org,周易傳義合訂,KR1a0142,12 卷,"四庫全書 文淵閣版, V47.3, p249",1,朱軾,1664 - 1736,清,撰
skqs1.org,周易玩辭集解,KR1a0143,10 卷,"四庫全書 文淵閣版, V47.4, p427",1,查慎行,1650 - 1727,清,撰
skqs1.org,惠氏易說,KR1a0144,6 卷,"四庫全書 文淵閣版, V47.5, p675",1,惠士奇,1670 - 1741,清,撰
skqs1.org,周易函書約存,KR1a0145,15 卷,"四庫全書 文淵閣版, V48.1, p1",1,胡煦,1655 - 1736,清,撰
skqs1.org,易箋,KR1a0146,8 卷,"四庫全書 文淵閣版, V49.1, p1",1,陳法,,清,撰
skqs1.org,學易初津,KR1a0147,2 卷,"四庫全書 文淵閣版, V49.2, p239",1,晏斯盛,,清,撰
skqs1.org,易翼宗,KR1a0147,6 卷,"四庫全書 文淵閣版, V49.3, p287",1,晏斯盛,,清,撰
skqs1.org,易翼說,KR1a0147,8 卷,"四庫全書 文淵閣版, V49.4, p471",1,晏斯盛,,清,撰
skqs1.org,周易孔義集說,KR1a0150,20 卷,"四庫全書 文淵閣版, V50.1, p1",1,沈起元,1685 - 1763,清,撰
skqs1.org,易翼述信,KR1a0151,12 卷,"四庫全書 文淵閣版, V50.2, p525",1,王又樸,1681 - 1760,清,撰
skqs1.org,周易淺釋,KR1a0152,4 卷,"四庫全書 文淵閣版, V51.1, p1",1,潘思榘,1695 - 1752,清,撰
skqs1.org,周易洗心,KR1a0153,7 卷,"四庫全書 文淵閣版, V51.2, p181",1,任啟運,1670 - 1744,清,撰
skqs1.org,豐川易說,KR1a0154,10 卷,"四庫全書 文淵閣版, V51.3, p383",1,王心敬,1656 - 1738,清,撰
skqs1.org,周易述,KR1a0155,23 卷,"四庫全書 文淵閣版, V52.1, p1",1,惠棟,1697 - 1758,清,撰
skqs1.org,易漢學,KR1a0156,8 卷,"四庫全書 文淵閣版, V52.2, p301",1,惠棟,1697 - 1758,清,撰
