docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0026,太上九天延祥滌厄四聖妙經,,,,,,The Beidi and Xuantian Shangdi Cult,,,Fourteenth Century?,1301,1400,太上九天延祥滌厄四聖妙經,Taishang jiutian yanxiang di'e sisheng miaojing,,,,,,,,1,The Beidi and Xuantian Shangdi Cult,,,,,,
DZ0027,元始天尊說北方真武妙經,,,,,,The Beidi and Xuantian Shangdi Cult,,,Ming,1368,1644,元始天尊說北方真武妙經,Yuanshi tianzun shuo beifang zhenwu miaojing,,,,,,,,1,The Beidi and Xuantian Shangdi Cult,,,,,,
DZ0028,元始天尊說梓潼帝君應驗經,,,,,,The Wenchang Cult,,,Thirteenth century?,1201,1300,元始天尊說梓潼帝君應驗經,Yuanshi tianzun shuo Zitong dijun yingyan jing,,,,,,,,1,The Wenchang Cult,,,,,,
DZ0029,元始天尊說梓潼帝君本願經,,,,,,The Wenchang Cult,,,,1194,,元始天尊說梓潼帝君本願經,Yuanshi tianzun shuo Zitong dijun benyuan jing,,,,,,,,1,The Wenchang Cult,,,,,,
DZ0030,元始八威龍文經,,,,,,Neidan and Yangsheng,General Works and Manuals,,,,,元始八威龍文經,Yuanshi bawei Iongwen jing,,,,,,,,1,Neidan and Yangsheng,General Works and Manuals,,,,,
DZ0031,黃帝陰符經,,,,,,Philosophy,The Yinfu jing and Its Commentaries,,Eighth century?,701,800,黃帝陰符經,Huangdi yinfu jing,,,,,,,,1,Philosophy,The Yinfu jing and Its Commentaries,,,,,
DZ0032,混元陽符經,,,,,,Philosophy,Commentaries on the Yinfu jing,,,,,混元陽符經,Hunyuan yangfu jing,,,,,,,,1,Philosophy,Commentaries on the Yinfu jing,,,,,
DZ0033,上清黃氣陽精三道順行經,楊羲,句容,"31,9453","119,1717",輯佚,Shangqing,Canonical Shangqing Scriptures,,Eastern Jin ,363,370,上清黃氣陽精三道順行經,Shangqing huangqi yangjing sandao shunxing jing,楊羲,Yang Xi,輯佚,,羲和,,330-386 ,1,Shangqing,Canonical Shangqing Scriptures,,句容,PL000000011098,DZTK 148: mentioned among those revealed to YANG XI(between 364- and 370).,
DZ0034,太上開明天地本真經,通玄三教眉山師仁壽,,,,傳,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,太上開明天地本真經,Taishang kaiming tiandi benzhen jing,通玄三教眉山師仁壽,"Renshou, Meishan Master Who Penetrates the Mystery of the Three Teachings",傳,,,,,1,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,
DZ0035,太上玄都妙本清淨身心經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,太上玄都妙本清淨身心經,Taishang xuandu miaoben qingjing shenxin jing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0036,太上太玄女青三元品誡拔罪妙經,,,,,,Lingbao,Litanies,,Tang,618,907,太上太玄女青三元品誡拔罪妙經,Taishang taixuan nüqing sanyuan pinjie bazui miaojing,,,,,,,,3,Lingbao,Litanies,,,,,
DZ0037,元始天尊說變化空洞妙經,,,,,,Lingbao Canon,Other Early Lingbao Scriptures,,Six Dynasties ,220,589,元始天尊說變化空洞妙經,Yuanshi tianzun shuo bianhua kongdong miaojing,,,,,,,,1,Lingbao Canon,Other Early Lingbao Scriptures,,,,,
DZ0038,太上昇玄三一融神變化妙經,,,,,,Dongzhen Division,Scriptures ,,,,,太上昇玄三一融神變化妙經,Taishang shengxuan sanyi rongshen bianhua miaojing,,,,,,,,2,Dongzhen Division,Scriptures ,,,,,
DZ0039,太上導引三光九變妙經,,,,,,Dongzhen Division,Scriptures ,,Tang,618,907,太上導引三光九變妙經,Taishang daoyin sanguang jiubian miaojing,,,,,,,,1,Dongzhen Division,Scriptures ,,,,,
